Company Name,Company Website URL,News Story URL,Headline,Publication Date,Publisher or Source,GPT Summary
"WEPCO Plastics, Inc.",https://wepcoplastics.com/,https://www.cbia.com/news/workforce/wepco-plastics-advanced-manufacturing-grant/,Wepco Plastics awards $5K grant to advanced manufacturing program,11/5/2021,CBIA News,"• Reports $5,000 Trailblazer STEAM grant to Connecticut River Academy 
• Education partnership and sustainability‑focused student project 
• Photo: Grant presentation image on CBIA page"
"Westminster Tool, Inc.",http://www.westminstertool.com,https://www.moldmakingtechnology.com/news/westminster-tool-partners-with-sumitomo-shi-demag-to-add-mold-qualification-capacity,Westminster Tool partners with Sumitomo (SHI) Demag to add mold‑qualification capacity,1/28/2022,MoldMaking Technology,"• Adds 354T Sumitomo press for mold qualification and customer demos 
• Supports medical‑grade consistency and validation 
• No direct quotes appear in this article"
"Westminster Tool, Inc.",http://www.westminstertool.com,https://www.plasticsnews.com/news/toolmaker-westminster-attracting-retaining-new-generation-manufacturers,Westminster Tool working to attract and retain new generation of manufacturers,2/27/2024,Plastics News,"• Reports workforce development strategies: career fairs, student engagement, awareness campaigns 
• Highlights cultural/technical transformation efforts 
• No direct quotes appear in this article"
Ameritech Die & Mold,https://www.amdiemold.com/,https://www.amdiemold.com/about-us,Ameritech Die & Mold Company History,1/1/2023,Official Website,"• Founded in 1985 by Ronald Wozny, Richard Wozny, and Steven Rotman 
• Grew from Michigan and Ohio operations to Mooresville, NC headquarters 
• Developed lean CNC-based manufacturing systems 
• No direct quotes appear in this profile."
Ameritech Die & Mold,https://www.amdiemold.com/,https://www.amdiemoldsouth.com/,Ameritech South Expansion,6/1/2009,Ameritech South Website,"• Expanded to Florida by acquiring Pinnacle Mold assets 
• Achieved AS9100B quality certification 
• Serves aerospace and military sectors 
• No direct quotes appear in this profile."
Ameritech Die & Mold,https://www.amdiemold.com/,https://www.amdiemold.com/about-us/video-virtual-tour,Ameritech Virtual Tour,1/1/2023,Official Website,"• Known for precision tooling and molds for high-risk automotive parts 
• Produces molds for airbag covers requiring extreme accuracy 
• Offers facility tour highlighting modern tooling equipment 
• No direct quotes appear in this tour."
"American Tool & Mold, Inc.",http://www.atemold.com,https://www.eeoc.gov/newsroom/eeoc-wins-summary-judgment-american-tool-mold-disability-case,EEOC wins summary judgment in American Tool & Mold disability case,4/21/2014,U.S. EEOC,"• Federal court finds ATM violated disability discrimination law by withdrawing job offer over old back injury 
• Order cites unlawful use of post‑offer medical exam results 
• No direct quotes appear in this article"
"Iowa Mold & Engineering, Inc.",http://www.iowamold.com,https://www.kcrg.com/content/news/Made-in-Eastern-Iowa-Plastics-from-Belle-Plaine-to-the-world-437631943.html,Made in Eastern Iowa: Plastics from Belle Plaine to the world,7/31/2017,KCRG-TV9,"• Local TV feature on growth, automation and facility expansion at Belle Plaine IA shop 
• Continuous equipment additions and process upgrades since the 1990s 
• Photo: KCRG shows the shop’s expanded space and equipment"
MSI Mold Builders,http://www.msimoldbuilders.com,https://www.thegazette.com/news/cedar-rapids-mold-company-donates-ear-savers-for-mask-wearers/,Cedar Rapids mold company donates ‘ear savers’ for mask wearers,5/26/2020,The Gazette,"• Designed and donated 50,000 plastic 'ear savers' to relieve mask pressure for healthcare workers during COVID‑19 
• Mold design‑to‑production completed in under a week; 400 units/hour vs. slow 3D printing 
• “This was our opportunity to help… frontlines… ” — Roger Klouda, President"
MSI Mold Builders,http://www.msimoldbuilders.com,https://www.plasticsnews.com/news/msi-mold-builders-leads-effort-make-donate-50000-ear-savers,"MSI Mold Builders leads effort to make, donate 50,000 ear savers",6/8/2020,Plastics News,"• Partnered with Kelly Plastics Inc. to mass‑produce ear savers for healthcare workers 
• Reinforces rapid response and community support 
• No direct quotes appear in this article"
MSI Mold Builders,http://www.msimoldbuilders.com,https://www.plasticsnews.com/article/20150330/NEWS/150339991/msi-mold-builders-expands-in-iowa-eyes-automotive-market,"MSI Mold Builders completes 12,000 sq‑ft expansion, eyes automotive market",3/30/2015,Plastics News,"• Added 12,000 sq ft to Cedar Rapids plant; upgraded 5‑axis machining and 3,000‑ton injection press 
• “We want to be a mold maker that does automotive work, rather than an automotive mold maker,” — Roger Klouda"
MSI Mold Builders,http://www.msimoldbuilders.com,https://www.thegazette.com/news/employers-struggle-with-worker-shortage/,Employers struggle with worker shortage,6/26/2016,The Gazette,"• Recruiting challenge for CNC operators; pays full tuition for interns via Kirkwood program 
• “We will pay 100 percent… if you work for us as an intern…” — Roger Klouda"
"Summit Mold, Inc.",http://www.summitmold.com,https://www.moldmakingtechnology.com/articles/summit-mold-better-not-bigger,Summit Mold: Better Not Bigger,2/1/2004,MoldMaking Technology,"• Lean operations and disciplined growth 
• Complex tooling capability and on‑time delivery 
• No direct quotes appear in this article"
A&C Mold,http://www.acmold.com,http://www.acmold.com,A&C Mold Expands Equipment Capabilities,8/1/2012,Official Website,"• Expanded production floor capacity 
• Added six new machines to broaden portfolio 
• Equipment page offers details on each new addition 
• No direct quotes appear in this article."
A-1 Tool Corporation,http://www.a1toolcorp.com,https://www.vfpress.news/articles/business/county-gives-tax-breaks-to-natl-cycle-in-maywood-a-1-tool-in-melrose-park/,"County Gives Tax Breaks To Nat’l Cycle In Maywood, A-1 Tool In Melrose Park",10/20/2018,Village Free Press,"• Local coverage of Cook County incentives supporting industrial employers including A‑1 Tool 
• Summarizes expected economic impact for Proviso Township 
• No direct quotes appear in this article"
Alchemy Precision,http://www.alchemyprecision.com,https://alchemyprecision.com/,Alchemy Precision Company Profile,1/1/2023,Official Website,"• Formerly DMC Mold & Tool Corp, based in Cary, IL 
• Specializes in precision injection, insert molding, micro molds, and Class 101 tooling 
• Serves industries including medical, electronics, consumer, and automotive 
• Provides EDM, CNC, grinding, CMM inspection, and contract machining services 
• No direct quotes appear in this profile."
Angle Tool Works,http://www.angletoolworks.com,https://www.angletoolworks.com/,Angle Tool Works Company Profile,1/1/2023,Official Website,"• Founded in 1961, specializes in thermoform and plastic tooling 
• ISO 9001:2015 certified with a global presence 
• Expanded partnerships in North America, Latin America, and Europe 
• Established European service partnership with dexterMT in 2016 
• No direct quotes appear in this profile."
Armin Tool & Manufacturing Co.,http://www.armin-ind.com,https://www.tmaillinois.org/uploads/1/3/1/0/131011131/2016_feb.pdf,TMA News: Manufacturers invest in paid apprenticeships,3/3/2016,Technology & Manufacturing Association News,"• Newsletter highlights apprenticeship program introducing trainees to mold disassembly and types of molds in first 30 days 
• Pathway to skilled moldmaking roles in South Elgin, IL 
• No direct quotes appear in this article"
"B A Die Mold, Inc.",http://www.badassmolds.com,https://www.moldmakingtechnology.com/news/b-a-die-mold-inc-celebrates-55-years-in-moldmaking,B A Die Mold Inc. Celebrates 55 Years in Moldmaking,10/11/2023,MoldMaking Technology,"• Illinois mold builder marks 55th anniversary; focus on complex precision tooling 
• Highlights innovation and regulated‑market experience 
• No direct quotes appear in this article"
"B A Die Mold, Inc.",http://www.badassmolds.com,https://www.plasticstoday.com/injection-molding/b-a-die-mold-celebrates-50-years-building-badass-molds-for-intricate-plastic-parts,B A Die Mold celebrates 50 years building ‘badass’ molds for intricate plastic parts,4/30/2018,PlasticsToday,"• Specializes in complex threaded and unscrewing molds with in‑house sampling 
• Markets include medical device, water filtration, automotive and caps/closures 
• No direct quotes appear in this article"
"Chicago Mold Engineering Co., Inc.",http://www.chicagomold.com,https://www.moldmakingtechnology.com/articles/chicago-mold-engineering-in-the-spotlight,Chicago Mold Engineering: In The Spotlight,1/1/2007,MoldMaking Technology,"• Profile of Chicago Mold highlighting multi-shot molding and stack mold capabilities  
• Includes focus on reverse-engineering services and heritage in precision moldmaking  
• No direct quotes appear in this article."
Comet Die & Engineering,http://www.cometdie.com,https://www.cometdie.com/,Comet Die & Engineering Company Profile,1/1/2023,Company Website,"• Provides precision tooling and die engineering services  
• Known for design and manufacturing in automotive and industrial sectors  
• Summary based on official company profile  
• No direct quotes appear in this profile."
Craftsman Tool & Mold Company,http://www.craftsmanmold.com,https://americanmoldbuilder.com/index.php/2019/09/17/customized-software-spurs-shipping-efficiency-at-craftsman-tool-a-mold/,Customized Software Spurs Shipping Efficiency at Craftsman Tool & Mold,9/17/2019,The American Mold Builder,"• Customized logistics/shipping software improved on‑time performance 
• Tracking and automation tactics improved throughput and customer communication 
• No direct quotes appear in this article"
Creative Die Mold Corp.,http://www.creativediemold.com,https://www.moldmakingtechnology.com/news/creative-blow-mold-tooling-acquires-isbm-business-from-big-3-precision-mold,Creative Blow Mold Tooling Acquires ISBM Business from Big 3 Precision Mold,5/7/2025,MoldMaking Technology,"• Illinois-based Creative expanded by acquiring Big 3’s ISBM division 
• Retained skilled workforce and intellectual property 
• Strengthens blow mold tooling capabilities 
• No direct quotes appear in this article."
DEMGY Group (US coverage not verified),http://www.demgy.com,,No news,,,No news
Elba Tool,http://www.elbatool.com,https://www.elbalighting.com/elba-nominated-for-the-stellantis-supplier-of-the-year-2024-award/,ELBA Nominated for the Stellantis Supplier of the Year 2024 Award,4/15/2024,Elba Official Site,"• Recognized by Stellantis for quality and innovation in automotive tooling 
• Highlights operational excellence and supplier partnerships 
• No direct quotes appear in this article."
InjectionMoldMaking.com / Electroform,http://www.injectionmoldmaking.com,https://www.injectionmoldmaking.com/PlasticsNewsArticle%20062606.pdf,"Electroform mixes toolmaking, automation",6/26/2006,Plastics News,"• Electroform showcased integration of tooling with automation at NPE 
• Demonstrated two-shot molding, in-mold decorating, and automated assembly 
• Quote: “We’ve done this to show what technology can do.” — Wade Clark, President"
Foreman Tool & Mold Corp.,http://www.foremantool.com,https://www.plasticsnews.com/article/20190117/NEWS/190119904/illinois-molder-adds-two-kraussmaffei-machines,Illinois molder adds two KraussMaffei machines,1/17/2019,Plastics News,"• Capacity boost supports two-shot molding and growing programs 
• Investment underscores automation and higher-cavitation work 
• No direct quotes appear in this article"
"Helm Tool Co., Inc.",http://www.helmtool.com,https://www.plasticsnews.com/news/helm-tool-imt-under-one-roof-13m-investment,"Helm Tool, IMT under one roof with $13M investment",8/30/2022,Plastics News,"• Consolidation brings Helm Tool and Intermolding Technology under one renovated roof in Franklin Park, IL 
• Project adds sampling/testing capacity and positions for growth 
• No direct quotes appear in this article"
Industrial Molds (Pyramid Molding Group),http://www.industrialmolds.com,https://www.wifr.com/2021/01/20/at-more-than-50-years-rockford-manufacturer-rebrands/,"At more than 50 years, Rockford manufacturer rebrands",1/20/2021,WIFR-TV,"• Rebrand launches Pyramid Molding Group as parent over Industrial Molds and Pyramid Plastics 
• Local station quotes release on uniting under one brand to increase customer value 
• Photo: Company announcement imagery on WIFR page"
Industrial Molds (Pyramid Molding Group),http://www.industrialmolds.com,https://plasticsbusinessmag.com/enews/2021/pyramid-molding-group-debuts-as-parent-company-to-industrial-molds-and-pyramid-plastics/,Pyramid Molding Group debuts as parent company,2/3/2021,Plastics Business,"• Trade coverage confirms unified branding and updated logos/websites across the group 
• Positions combined molding and tooling offering under a single identity 
• No direct quotes appear in this article"
Industrial Molds (Pyramid Molding Group),http://www.industrialmolds.com,https://www.moldmakingtechnology.com/news/pyramid-molding-group-expands-workforce-to-fuel-anticipated-growth,Pyramid Molding Group expands workforce to fuel anticipated growth,8/29/2023,MoldMaking Technology,"• Adds 21 team members since May 2023 across Pyramid Plastics and Industrial Molds 
• Expansion aligns with plan to enhance capabilities and customer service 
• No direct quotes appear in this article"
Janler Corporation,http://www.janler.com,https://www.plasticstoday.com/injection-molding/uniphase-acquires-mold-maker-janler,Uniphase Acquires Mold Maker Janler,10/30/2024,PlasticsToday,"• Uniphase acquires Chicago mold builder Janler to expand integrated engineering/tooling 
• Highlights Janler’s 70-year history and high-cavitation expertise 
• No direct quotes appear in this article"
Janler Corporation,http://www.janler.com,https://www.moldmakingtechnology.com/news/uniphase-acquires-janler-corp-to-expand-capabilities-in-plastics-injection-molding,Uniphase Acquires Janler Corp. to Expand Capabilities in Plastics Injection Molding,11/1/2024,MoldMaking Technology,"• Trade news confirms Oct 29, 2024 acquisition of Janler by Uniphase 
• Frames deal within broader plastics injection molding capability expansion 
• No direct quotes appear in this article"
Janler Corporation,http://www.janler.com,https://www.plasticsnews.com/news/uniphase-buys-chicago-tool-builder-janler,Uniphase buys Chicago tool builder Janler,11/15/2024,Plastics News,"• Third-party confirmation and additional context on the acquisition 
• Positions Uniphase + Janler as combined molder/toolmaker serving medical and consumer markets 
• No direct quotes appear in this article"
"Matrix Plastic Products, Inc.",http://www.matrixplastic.com,https://www.plasticsnews.com/mergers-acquisitions/plastics-industry-business-deals-including-mergers-and-acquisitions,Plastics industry business deals (Matrix Plastic Products entry),1/21/2025,Plastics News (M&A Tracker),"• Tracker notes private investment by 3 Boomerang Capital to accelerate Matrix growth and automation 
• Signals investor confidence in medical device tooling/molding niche 
• No direct quotes appear in this article"
"Pelco Tool & Mold, Inc.",http://www.pelcotoolinc.com,https://www.plasticsnews.com/article/20170810/NEWS/170819993/illinois-toolmaker-pelco-upgrades-equipment,Illinois toolmaker Pelco upgrades equipment,8/10/2017,Plastics News,"• Reports approximately $2M in equipment upgrades at Glendale Heights, IL operation 
• Focused on speed, quality and capacity for precision molds 
• No direct quotes appear in this article"
"Pelco Tool & Mold, Inc.",http://www.pelcotoolinc.com,https://www.plasticsnews.com/article/20150911/NEWS/150919984/pelco-brink-to-work-together-on-complex-molds-iml-systems,"Pelco, Brink to work together on complex molds, IML systems",9/11/2015,Plastics News,"• Cooperation agreement with Brink for thin-wall packaging molds and IML systems 
• Strategic push into packaging tooling technology 
• No direct quotes appear in this article"
PM Mold Company,http://www.pmmold.com,https://www.plasticsnews.com/mergers-acquisitions/acquisition-platform-newco-buys-pm-mold,Acquisition platform NewCo buys PM Mold,9/22/2022,Plastics News,"• NewCo Plastics acquires PM Mold Co. under White Wolf Capital platform 
• Deal expands tooling/molding reach in Illinois market 
• No direct quotes appear in this article"
Tri‑Par Die & Mold Corporation,http://www.tri-par.com,https://www.moldmakingtechnology.com/news/the-amba-chicago-chapter-recognizes-top-apprentices,The AMBA Chicago Chapter Recognizes Top Apprentices,1/8/2019,MoldMaking Technology,"• Chicago-area apprentices recognized by AMBA Chicago Chapter; Tri‑Par among participating employers 
• Coverage highlights workforce development within moldmaking community 
• No direct quotes appear in this article"
"Decatur Mold Tool & Engineering, Inc.",http://www.decaturmold.com,https://www.plasticsnews.com/news/decatur-mold-invests-12m-lights-out-technology,Decatur Mold invests $12M in lights-out technology,10/17/2022,Plastics News,"• Adds 14,000+ sq‑ft expansion and automation for lights‑out machining in North Vernon, IN 
• Supports faster tool builds and reshoring initiatives 
• No direct quotes appear in this article"
"Decatur Mold Tool & Engineering, Inc.",http://www.decaturmold.com,https://www.rubbernews.com/expansion/decatur-mold-invests-12m-lights-out-technology,Decatur Mold invests $12 million in lights-out technology,10/18/2022,Rubber News,"• Trade follow-up covers five new 5‑axis machines and automation 
• Frames investment within post‑pandemic reshoring and capacity needs 
• No direct quotes appear in this article"
"Roembke Manufacturing & Design, Inc.",http://www.roembke.com,https://www.rubbernews.com/article/20150317/NEWS/303099974/mold-maker-roembke-reveals-recipe-for-success,Mold maker Roembke reveals recipe for success,3/17/2015,Rubber News,"• Indiana LSR mold builder invests $1M+ to expand capabilities; diversification beyond automotive 
• Highlights tooling complexity, growth plans and market mix 
• No direct quotes appear in this article"
"Roembke Manufacturing & Design, Inc.",http://www.roembke.com,https://www.rubbernews.com/article/20160527/NEWS/305169990/family-run-business-roembke-mfg-design-inc,Family-run business: Roembke Mfg. & Design Inc.,5/27/2016,Rubber News,"• Follow-up feature on operations and market positioning for LSR molds 
• Notes North American leadership in rubber industry tooling niche 
• No direct quotes appear in this article"
ASH Industries,http://www.ashindustries.com,https://www.plasticsnews.com/news/injection-molder-ash-industries-expanding-louisiana,Injection molder ASH Industries expanding in Louisiana,7/22/2022,Plastics News,"• $5M expansion to double manufacturing space in Lafayette Parish and add 85 jobs 
• Growth tied to medical/industrial programs; mentions LED partners 
• No direct quotes appear in this article"
ASH Industries,http://www.ashindustries.com,https://www.opportunitylouisiana.gov/news/ash-industries-announces-85-job-expansion-in-lafayette,ASH Industries Announces 85-Job Expansion In Lafayette,7/13/2022,Louisiana Economic Development (LED),"• Official state release confirms 20,000‑sq‑ft addition and incentives 
• Quote: “The expansion of ASH Industries is an important job creation project …” — Gov. John Bel Edwards"
"Accu‑Die & Mold, Inc.",http://www.accu-die.com,https://www.moodyonthemarket.com/new-president-announced-at-accu-die-mold-in-stevensville/,New president announced at Accu‑Die & Mold in Stevensville,2/1/2024,Moody on the Market,"• Founder Daniel Reifschneider names Dan Lausch as new president; founder remains CEO 
• Local coverage of succession aimed at growth and continuity 
• Quote: “I’m getting older and it’s time … to put somebody else in charge,” — Daniel J. Reifschneider"
Commercial Tool Group (Commercial Tool & Die),http://www.commercialtoolgroup.com,https://www.moldmakingtechnology.com/news/zimmermann-designs-custom-milling-machines-for-commercial-tool-die,Zimmermann designs custom milling machines for Commercial Tool & Die,9/1/2021,MoldMaking Technology,"• Three custom portal milling machines designed to speed production and improve accuracy at CTD in Comstock Park, MI 
• Highlights collaboration to tailor five-axis capabilities for large plastic injection molds 
• No direct quotes appear in this article"
Die‑Tech & Engineering,http://www.dietech-gr.com,https://blogs.sw.siemens.com/nx-design/crisis-engineering-die-tech-engineering-joins-the-race-for-ventilators-in-the-coronavirus-pandemic/,Crisis engineering: Die‑Tech & Engineering joins the race for ventilators,4/21/2020,Siemens (NX Design blog),"• Case study shows rapid mold design/build for GM/ventilator program under Defense Production Act 
• Outlines CAD/CAM workflow enabling days‑to‑production turnaround 
• No direct quotes appear in this article"
Die‑Tech & Engineering,http://www.dietech-gr.com,https://www.ideastream.org/news/2020-05-20/how-his-small-factory-got-drafted-into-crafting-a-key-component-for-ventilators,How his small factory got drafted into crafting a key component for ventilators,5/20/2020,Ideastream Public Media,"• Public media piece documents rapid collaboration with Twin City Die Castings for GM/Ventec ventilators 
• Local angle on mobilizing moldmakers for pandemic response 
• No direct quotes appear in this article"
"North American Lighting, Inc. (NAL)",http://www.nal.com,https://www.indianapolisrecorder.com/north-american-lighting-continues-growth-in-indiana/,North American Lighting continues growth in Indiana,3/10/2023,Indianapolis Recorder,"• Regional outlet notes expansion of Indiana operations adding jobs and capacity 
• Offers context around tooling and supply partnerships in region 
• No direct quotes appear in this article"
General Die & Engineering,http://www.gendie.com,https://artiflexmfg.com/2024/09/24/artiflex-acquires-general-die-and-engineering/,ArtiFlex acquires General Die & Engineering,9/24/2024,ArtiFlex Manufacturing,"• ArtiCast Tool & Manufacturing (ArtiFlex family) acquires Grand Rapids-based General Die & Engineering 
• Highlights GD&E expertise in large high-pressure die-cast dies and injection molds 
• No direct quotes appear in this article"
"Liberty Molds, Inc.",http://www.libertymolds.com,https://www.moldmakingtechnology.com/articles/michigan-moldmaker-produces-tools-onshore-and-off,Michigan Moldmaker Produces Tools Onshore and Off,8/12/2020,MoldMaking Technology,"• Profile details dual onshore/offshore tooling strategy across China and Portage, MI 
• Covers complex injection tool builds and competitiveness approach 
• No direct quotes appear in this article"
Midwest Die Corporation,http://www.midwestdiecorp.net,https://www.moodyonthemarket.com/barodas-midwest-die-corp-sold-by-founding-nitz-family/,Baroda’s Midwest Die Corp Sold by Founding Nitz Family,10/27/2021,Moody on the Market,"• Local outlet reports sale of Midwest Die Corp to Lateral Industries, LLC 
• Founders Rodney and Richard Nitz exit ownership; operations to continue 
• No direct quotes appear in this article"
Midwest Die Corporation,http://www.midwestdiecorp.net,https://www.caldergr.com/midwest-die-corp-acquired-by-lateral-industries-llc/,"Midwest Die, Corp. of Baroda, MI Acquired by Lateral Industries, LLC",10/27/2021,Calder Capital,"• Advisor note confirms acquisition and buyer details 
• States company will continue operating as Midwest Die Corp 
• No direct quotes appear in this article"
"Model Die & Mold, Inc.",http://www.modeldie.com,https://www.moldmakingtechnology.com/articles/dive-into-3-different-mold-shops-with-me,Dive Into 3 Different Mold Shops With Me (includes Model Die & Mold),10/14/2024,MoldMaking Technology,"• Editorial mentions March 2023 shop visit with Model Die & Mold (Grand Rapids, MI) 
• Contextual insights into shop practices and learning takeaways 
• No direct quotes appear in this article"
"Quality Mold (Erie, PA)",http://www.quality-molds.com,https://www.moldmakingtechnology.com/articles/pennsylvania-mold-builder-doubles-footprint-maintains-quality-and-company-values-,"Pennsylvania Mold Builder Doubles Footprint, Maintains Quality and Company Values",4/7/2023,MoldMaking Technology,"• Feature on Erie-based Quality Mold’s footprint expansion while maintaining culture and quality 
• Covers investments and workflow improvements during growth 
• No direct quotes appear in this article"
